<<<<<<< HEAD
Size,Block size,Time,L1 DCM,L2 DCM,L2 DCA,L2 DCH,DOUBLE PRECISION FLOPS
8192,128,438.984,81569932102,275504184581,12603588808,-262900595773,1103806595073
8192,256,590.045,74454335712,175182146101,4961859430,-170220286671,1101659111425
8192,512,568.420,70934568498,153473859542,2874077768,-150599781774,1100585369601
10240,128,873.790,159429140749,529886320047,14983106321,-514903213726,2155872256001
10240,256,973.515,145578277139,367785890223,8325838053,-359460052170,2151677952001
10240,512,963.912,138649926932,320893083743,5311252777,-315581830966,2149580800001
=======
Size,Block Size,Time,L1 DCM,L2 DCM,DOUBLE PRECISION FLOPS
4096,128,51.470,10204396156,34638931087,137975824385
4096,256,56.828,9309893283,23937769856,137707388929
4096,512,64.558,8870683352,20226138352,137573171201
6144,128,177.898,34430620043,114938579223,465668407297
6144,256,188.104,31428886659,79700397202,464762437633
6144,512,197.525,29966365215,69121528386,464309452801
8192,128,438.984,81569932102,275504184581,1103806595073
8192,256,590.045,74454335712,175182146101,1101659111425
8192,512,568.420,70934568498,153473859542,1100585369601
10240,128,873.790,159429140749,529886320047,2155872256001
10240,256,973.515,145578277139,367785890223,2151677952001
10240,512,963.912,138649926932,320893083743,2149580800001
>>>>>>> c310b2915f9442c0061f083701c041b20b53c46b
